"mkt","measure","Value"
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.506
"BEARING - APPLICATIONS","LB / ACRE / YEAR",14.256
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.031
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.591
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.974
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.394
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.254
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.202
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.566
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.237
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.35
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.183
"BEARING - APPLICATIONS","LB / ACRE / YEAR",10.775
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.14
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.23
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.989
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.139
"BEARING - APPLICATIONS","LB / ACRE / YEAR",17.216
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.056
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.815
"BEARING - APPLICATIONS","LB / ACRE / YEAR",5.029
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.249
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.461
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.099
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.388
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.357
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.453
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.184
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.048
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.191
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.107
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.145
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.283
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.251
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.121
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.16
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.245
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.253
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.602
"BEARING - APPLICATIONS","LB / ACRE / YEAR",2.443
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.219
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.076
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.159
"BEARING - APPLICATIONS","LB / ACRE / YEAR",2.57
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.168
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.067
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.117
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.126
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.274
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.088
"BEARING - APPLICATIONS","LB / ACRE / YEAR",221.399
"BEARING - APPLICATIONS","LB / ACRE / YEAR",77.467
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.186
"BEARING - APPLICATIONS","LB / ACRE / YEAR",4.631
"BEARING - APPLICATIONS","LB / ACRE / YEAR",281.989
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.958
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.266
"BEARING - APPLICATIONS","NUMBER",8.6
"BEARING - APPLICATIONS","NUMBER",5
"BEARING - APPLICATIONS","NUMBER",4.6
"BEARING - APPLICATIONS","NUMBER",1
"BEARING - TREATED","PCT OF AREA BEARING",18
"BEARING - TREATED","PCT OF AREA BEARING",48
"BEARING - TREATED","PCT OF AREA BEARING",11
"BEARING - TREATED","PCT OF AREA BEARING",10
"BEARING - TREATED","PCT OF AREA BEARING",45
"BEARING - TREATED","PCT OF AREA BEARING",49
"BEARING - TREATED","PCT OF AREA BEARING",39
"BEARING - TREATED","PCT OF AREA BEARING",25
"BEARING - TREATED","PCT OF AREA BEARING",32
"BEARING - TREATED","PCT OF AREA BEARING",21
"BEARING - TREATED","PCT OF AREA BEARING",35
"BEARING - TREATED","PCT OF AREA BEARING",38
"BEARING - TREATED","PCT OF AREA BEARING",99
"BEARING - TREATED","PCT OF AREA BEARING",40
"BEARING - TREATED","PCT OF AREA BEARING",12
"BEARING - TREATED","PCT OF AREA BEARING",5
"BEARING - TREATED","PCT OF AREA BEARING",4
"BEARING - TREATED","PCT OF AREA BEARING",36
"BEARING - TREATED","PCT OF AREA BEARING",9
"BEARING - TREATED","PCT OF AREA BEARING",86
"BEARING - APPLICATIONS","LB",135100
"BEARING - APPLICATIONS","LB",4500
"BEARING - APPLICATIONS","LB",142400
"BEARING - APPLICATIONS","LB",303200
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.025
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.294
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.189
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.38
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.072
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.069
"BEARING - APPLICATIONS","LB / ACRE / YEAR",21.339
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.816
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.652
"BEARING - APPLICATIONS","LB / ACRE / YEAR",22.509
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.037
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.187
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.124
"BEARING - APPLICATIONS","NUMBER",10.5
"BEARING - APPLICATIONS","NUMBER",3.4
"BEARING - APPLICATIONS","NUMBER",9.5
"BEARING - APPLICATIONS","NUMBER",2.6
"BEARING - TREATED","PCT OF AREA BEARING",58
"BEARING - TREATED","PCT OF AREA BEARING",62
"BEARING - APPLICATIONS","LB",283500
"BEARING - APPLICATIONS","LB",16600
"BEARING - APPLICATIONS","LB",900
"BEARING - APPLICATIONS","LB",15000
"BEARING - APPLICATIONS","LB",11100
"BEARING - APPLICATIONS","LB",34200
"BEARING - APPLICATIONS","LB",9300
"BEARING - APPLICATIONS","LB",7000
"BEARING - APPLICATIONS","LB",1400
"BEARING - APPLICATIONS","LB",1600
"BEARING - APPLICATIONS","LB",4800
"BEARING - APPLICATIONS","LB",686000
"BEARING - APPLICATIONS","LB",90900
"BEARING - APPLICATIONS","LB",1233500
"BEARING - APPLICATIONS","LB",4200
"BEARING - APPLICATIONS","LB",10200
"BEARING - APPLICATIONS","LB",17900
"BEARING - APPLICATIONS","LB",7300
"BEARING - APPLICATIONS","LB",5200
"BEARING - APPLICATIONS","LB",6000
"BEARING - APPLICATIONS","LB",3500
"BEARING - APPLICATIONS","LB",56700
"BEARING - APPLICATIONS","LB",12700
"BEARING - APPLICATIONS","LB",51600
"BEARING - APPLICATIONS","LB",1000
"BEARING - APPLICATIONS","LB",212600
"BEARING - APPLICATIONS","LB",6146600
"BEARING - APPLICATIONS","LB",1045700
"BEARING - APPLICATIONS","LB",254000
"BEARING - APPLICATIONS","LB",244000
"BEARING - APPLICATIONS","LB",7698900
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.205
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.482
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.337
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.739
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.32
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.623
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.213
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.168
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",3.997
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.493
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.303
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.073
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.381
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.51
